Namespace,Name,HasSample,HasSnipSnop,HasDatasheet,HasDocOverride,IsUIDCorrect,HasFritzing,HasCodeExample,HasWiringExample,HasPurchasing,IsPublished
Meadow.Foundation.Sensors.Environmental.GroPoint,Gplp2625_S_T_2,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental.GroPoint,Gplp2625_S_T_3,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental.GroPoint,Gplp2625_S_T_4,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental.GroPoint,Gplp2625_S_T_5,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental.GroPoint,Gplp2625_S_T_6,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental.GroPoint,Gplp2625_S_T_8,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental.GroPoint,Gplp2625,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental,KellerTransducer,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental,SimulatedKellerTransducer,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental,MiniPID2,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Environmental,NextPm,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Environmental,Pmsa003i,False,False,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Environmental,Scd30,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Environmental,Scd40,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Environmental,Scd41,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Environmental,SimulatedY4000,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental,Y4000,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Environmental.Ysi,Exo,False,False,False,True,True,False,False,False,False,True
Meadow.Peripherals.Sensors.Flow,Gr105,False,False,False,True,True,False,False,False,False,True
Meadow.Peripherals.Sensors.Flow,Gr201,False,False,False,True,True,False,False,False,False,True
Meadow.Peripherals.Sensors.Flow,Gr216,False,False,False,True,True,False,False,False,False,True
Meadow.Peripherals.Sensors.Flow,YfB1,False,False,False,True,True,False,False,False,False,True
Meadow.Peripherals.Sensors.Flow,YfB10,False,False,False,True,True,False,False,False,False,True
Meadow.Peripherals.Sensors.Flow,YfB2,False,False,False,True,True,False,False,False,False,True
Meadow.Peripherals.Sensors.Flow,YfB3,False,False,False,True,True,False,False,False,False,True
Meadow.Peripherals.Sensors.Flow,YfB6,False,False,False,True,True,False,False,False,False,True
Meadow.Peripherals.Sensors.Flow,YfB9,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Gnss,Bg95M3,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Gnss,Mt3339,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Gnss,NeoM8,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Hid,ANONavigationEncoder,True,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Hid,As5013,True,True,False,True,True,False,True,True,False,True
,Bbq10Keyboard,True,True,False,False,False,False,False,False,False,True
Meadow.Foundation.Sensors.Hid,Keyboard,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Hid,Mpr121,True,True,False,True,True,True,True,True,False,True
Meadow.Foundation.Sensors.Hid,Tsc2004,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Hid,NesClassicController,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Hid,SnesClassicController,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Hid,WiiClassicController,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Hid,WiiClassicControllerPro,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Hid,WiiNunchuck,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Hid,Xpt2046,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Light,Alspt19315C,True,True,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Light,AnalogSolarIntensityGauge,True,True,False,True,True,False,True,False,False,True
